,Carolinas_Peaks,Carolinas_Hourly
July,0.8177642591492116,0.9640863097214509
August,0.8793073081559849,0.9758441482397874
September,0.9020603220963557,0.9660204125091683
October,0.9443968849769766,0.9683506493473515
November,0.8882642112542801,
December,0.9242399849086014,0.9202583559394838
January,0.9444465350912657,0.953924696404701
February,0.9517868751019968,0.9417994609297418
March,0.007182307625519993,
April,0.7689442963971503,0.8941237957602568
May,0.9426957737751184,0.967845642496524
June,0.7867777653059065,0.9466573790289133
