,Midwest_Peaks,Midwest_Hourly
July,0.8799595221957608,0.9758748223418299
August,0.9206728778864122,0.9814550012884453
September,0.9488872745689712,0.9795126086717526
October,0.9635305045722713,0.9798979624633259
November,0.9059250408036016,0.7137238137126732
December,0.5402673732191773,0.6832366948925712
January,0.9345560642505295,0.9391633953081794
February,0.9131356677554618,0.9358058757993438
March,0.9330076980602501,0.9467367975857376
April,0.8810375277885933,0.9428874381552061
May,0.9449351430147784,0.6744907864334098
June,0.913154473379769,0.9756148059657623
