,Northwest_Peaks,Northwest_Hourly
July,0.5973506696939419,0.9095730352350044
August,0.43896156575033146,0.8859098232785663
September,0.7437514625609121,0.866291614151107
October,0.4817743919673064,0.8297566969729455
November,0.16658880671991247,0.5749660171381071
December,0.25739047196906456,0.7390327679552435
January,0.5911501396133904,0.7905202233410061
February,0.33904755273192355,0.8134763078254004
March,0.5311166656407031,0.7531492082740214
April,0.18643506636756776,0.7767466861357835
May,0.6616328457868355,0.8927811926540108
June,0.857186789303529,0.9385096001282967
